id,text,label
31998,Such a awesome women 🔥👍,Positive
31999,Best speech,Positive
32000,Super mam,Positive
32001,Semma super,Positive
32002,Ģet ĺost RJabakshe family,Negative
32003,Odi oliyim muyarchiyil india kindiya vanthura pora vera mari irukum tamilar irukum oru natilum nulaya mudiyathu,Negative
32004,sorry.. lanka cant save... human said.. the world created by god.. but sinhales said this is lanka country (buddish) ..????,Negative
32005,Koththa go home,Negative
32006,கடன் பட்டார் நெஞ்சம் போல் கலங்கினான் இலங்கை வேந்தன் ஆதலால் இந்த ராஜபக்ஷ அரக்கர்கள் தான் காரணம் 😁,Negative
32008,இலங்கை தமிழருக்கு செய்த பாவம்சும்மாவிடாது,Negative
32009,"எங்களுடைய உறவுகளின் ஜனாஸாக்களை எரித்ததன் மூலம் ஒட்டு மொத்த உலகத்தில் உள்ள அனைத்து முஸ்லீம்களின் மனங்களையும் எரித்தீர்களே...
அந்த சாபம்.",Negative
32010,Modi kum varum kaalthil edhe nilamai,Negative
32011,"மகிந்து உனக்கு எமது ஆழ்ந்த அனு
தாபம். வரலாறு திரும்பாது வரலாற்
ரை நீ திரும்பி பார்க்க வேண்டிய து
காலத்தின் கட்டாயம்.",Negative
32012,வெளி வந்தால் அடி விழும் மகிந்த தலை மறைவு,Negative
32013,Fools alone will depend upon God and priests for solving any problem. There's no God. No God can save the world or stop a revolution.,Negative
32014,Gotabaya must be removed from power by military action. All their wealth and property must be confiscated.,Negative
32015,"அமைதியான இலங்கை இப்படி ஆர்ப்பாட்ட களமாக மாறியுள்ளது மிக்க வருத்தத்தையும், துக்கத்தையும் அளிக்கிறது..... ஆட்சியில் உள்ளவர்கள் மக்களின் குரலுக்கு செவி சாய்க்க வேண்டும்..... அவர்களால் அல்லவோ இவர்கள் வந்தது",Positive
32016,புத்தரே எங்கள் நாட்டு தெய்வம் என்று கொக்கரித்து விட்டு இந்தியா சென்று திருப்பதி பெருமாளை தரிசனம்செய்தாரே!இருவரும் கைவிட்டனரா?,Negative
32017,Rajapaksha family should not be allowed to leave the country. They looted and destroy the country.,Negative
32018,"அன்று முதல் இன்று வரை ""தீ "" வைத்தலில் உலக பிரசித்தி பெற்ற இடம் இலங்கை. அதனால்தான்
சில வருடங்களுக்கு முன்   ரஜனியின் "" தீ"" படம் இலங்கையை மையப்படுத்தி எடுக்கப்பட்டது.🤪",Negative
32019,Payback for mass murder.,Negative
32020,விருந்தாளி மரபணு பக்ஷே சகோதரர்களின் டவுசர் கிழிப்பு🤣🤣🤣🤣,Negative
32021,இதில் ஆமை சீமான் ஒன்றும் செய்த பாடு இல்லையே. .,Negative
32022,கோத்தயாயாவும் நாட்டை விட்டு விரட்ட. வேண்டும்.,Negative
32023,Next to tamilnadu mp and mla. One day will happens,Negative
32024,Hena gaha piya,Negative
32025,See you tube (tb Joshua heald Muslim man),Negative
32026,Evil religion,Negative
32027,Nee PAtra waitha Neruppu.....🤫,Negative
32028,important rajapaksa family,Negative
32029,"இலங்கையில் நடந்தது போல்,

நம் பாரத தேசத்தில் இருக்கும் பாரத தேச துரோகிகளான,
திருட்டு விபச்சார ஊடகங்கள்,
காங்கிரஸ்,
கம்யூனிஸ்ட்,
ஆம் ஆத்மி,
திருட்டு திராவிட ஒட்டுமொத்த கும்பல் வி சி க திருமாவளவன், சீமான்,
வேல்முருகன்,
மேற்கு வங்கம் மம்தா பானர்ஜி,
ஆந்திரா ஜெகன் மோகன்,
பீகார் பிரசாந்த் கிஷோர்,
காஷ்மீர் முஸ்லீம் கட்சிகள்,
தெலுங்கானா ஒவைசி,
மற்றும் பாரதத்தில் தேச துரோகிகளாக இருக்கும் சில இந்துக்கள், பல முஸ்லீம்கள்,
பல கிறிஸ்துவர்கள்
ஒட்டு மொத்தமாக அழியும் நாள் விரைவில்.",Positive
32030,SOOPURA MANIYA BINAMI is the killer of Rajeevgandi.Gotapaaya was in the army and hit Rajeevghandi when he arrived to srilanka. Raasapaksa and the Soopuramaniya(mother f**ker) are very close friends and to become to political power and to steal  the country and destroyed the country together.SOOPURA MANIYA is the NAZI he killed RAJEEVGHANDI destroyed SRILANKA and Iindia as well together with RAASAFUKSA.He should be captured immediately without any further delay.His duty is only killing destroying and stealing and causing violent among peaceful innocent civilian. Zero tolerance to SOOPURA MANI NAZI.,Positive
32031,Rajapakshas deserves All for what he has done to the country and society His communal thoughts and activities has ruined the country,Negative
32032,This is best example when people jobless and food less and when empty stomach reaches extreme level and angry of common man will lead to change the entire government..,Negative
32033,Mulikkura muliya paru thiruttu muli...thirudargal...,Positive
32034,BASTARD SINHALESE AND RAJABAKSHE,Positive
32035,THALAIVAR PRABAKARAN,Negative
32036,இதே குடும்ப ஆட்சி தமிழ்நாட்டை பொய்ப்பிரச்சாரம் செய்து சூறையாடிக்கொண்டிருக்கின்றது. இனியாவது தமிழ்நாட்டு மக்கள் சிந்தித்து செயலாற்றவேண்டும்,Negative
32037,👍👍👍👍👍😁😁😁😁😁😁,Negative
32038,"கெட்ட ஆவி இல்லை, நீங்கள் செய்த பாவதத்தின்  விளைவுகள்!!!🔥🔥🔥🔥🔥",Negative
32039,இலங்கை குடும்ப ஆட்சியால் அழிந்தது.   இலங்கை போல இந்தியா ஆகாமல் இருக்கவேண்டும் என்றல் முதலில் குடும்ப ஆட்சிகளை ஒழியுங்கள்:oops:,Negative
32040,கொடுங்கோலர்களுக்கு வரலாற்றில் ஏற்படும் கதிதான்இவருக்கும் நடந்திருக்கிறது .மக்கள் சக்தியே வெல்லும்.,Negative
32041,மதவாதம் கையில் எடுத்தால் எல்லோருக்கும் இதே நிலைதான் புரிந்து நடந்தால் சரி,Negative
32043,ஓடி ஒளிந்தே கொண்டான் ஓத்தபயல்..,Positive
32044,Poikara vikatan news a nambadhiga,Negative
32045,ராஜ ،(பக்) ஷே அழிவு காலம்,Negative
32046,Tamil Nadu…….! Is waiting….!,Negative
32047,செய்த அநியாயங்களுக்கு ஒருதனையாவது உயிரோடு கொழுத்த வேண்டும்.,Positive
32048,"News nalla analys panni poduga  chumma vaiku vandhdhu ellam podama arakuraya therinjukondu poi kara pirachana pannavugala podhumakkal
Adithapiraguthan mahinda padhavi vilaginan chumma puluvikitu vigadan",Negative
32050,Remember 20 days child,Negative
32051,"Pillai ya killi vittu, thottilaiyum aattura kootam.",Negative
32052,Basil go to america work like building cleaner,Negative
32053,"திருட்டு ராஜபக்சேக்கு 
அழியும் காலம் வந்து விட்டது.திருட்டு சீனா நம்பி நாசமாகும். ஜெய்ஹிந்த்",Positive
32054,Super 👍👍,Negative
32055,"பொது வாழ்க்கைக்கு வந்து குடும்ப நலனை ,தன் வளர்ச்சி,அதிகார துஷ்பிரயோகம் னு இருந்த உலகின் அத்துனை அரசியல்வாதிகளுக்கும்,அதிபர்களுக்கும்,மன்னர்களுக்கும் இறுதியில் இதை விட மிக மோசமாக தான் இருந்திருக்கிறது. ...",Negative
32056,Neenka thaaney asutha aavikal,Positive
32057,Divide and rule politics with other countries comes to an end.,Negative
32058,"WARNING FOR TAMIL NADU: FAMILY DYNASTY POLITICIANS BEAWARE, COULD FACE SAME SCENARIO LIKE SRILANKA'S RAJAPAKSES.",Negative
32059,கடவுள்  இருக்குரா குமாரு 😂😂😂😂🤗🤗🤗,Negative
32060,மோடிக்கும் இந்நிலை விரைவில் நிகழும்.,Negative
32062,Muslimgal iranthu ponal putaikka kudathu erikkanum entru tomba aadiya kuttam ippo anubavikkurarhal iraivan miha periyavan,Positive
32063,சிறப்பு,Negative
32064,Death ratio increasing,Negative
32065,Good lession.,Negative
32066,Modikkam ithai kethi sekkram varum,Negative
32067,தாலி கட்டிய கணவன் கண்முன்னே மனைவியை கற்பழித்து கொலை செய்த கூட்டம் இது இன்னும் தண்டனை கொடு இறைவா🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏,Positive
32068,கன்னிப்பெண் களை சீரழித்த சாபம்...இது பத்தாது.... இன்னும் இருக்கிறது....மக்கா.... தண்ணீர் இல்லாம சாவிங்கடா நீங்க எல்லாம்.... இசைப்பிரியா அவர்களை பெண் என்றும் பாராமல் நிர்வானமாக சித்ரவதை செய்து கொலை செய்த இலங்கை மண்ணை இயற்கை ஒரு போதும் மன்னிக்காது..... தெய்வமே உன் காதில் விழுந்தது என்பதை எல்லாரையும் நம்ப வை.... இலங்கை மண்ணை முற்றிலும் சாம்பலாக்கி விட்டு... பின்னர் இந்தியாவிற்கு வா....இங்கும் அராஜகம் ஆடுகிறது,Positive
32069,குடும்ப ஆட்சி நடந்தால் நாடு உருப்படாது என்பதற்கு சமீபத்திய உதாரணம் ஸ்ரீ லங்கா. தமிழர்கள் திமுக காங்கிரஸ்....... போன்ற கட்சிகளை இனி கவனத்துடன் அணுக வேண்டியது காலத்தின் கட்டாயம்.,Negative
32070,அடுத்தது துரோகி கட்டுமரத்தின் எச்சங்களை துரத்தியடிப்பதே! 💪💪💪💪💪,Negative
32071,தினை விதைத்தவன் தினை அறுப்பான் வினை விதைத்தவன் வினை அறுப்பான்,Negative
32072,இவ்வளவு  பதவி வெறியர்களா,Negative
32073,அங்கு கஷ்டப்பட்டு போராட்டம் நடத்தியது மக்கள்🤨. ஆனா அந்த போராட்டதிலும் கடவுள் பெயரால் சிலர் பங்கு கேட்பார்கள் போல. 🤬ஒரு நல்லது நடக்க கூடாது உடனே எங்க இருந்து கொடி புடிச்சுட்டு வருவாங்கனு தெரியாது. எல்லாம் எங்களால் தான் நடந்தது சொல்லிட்டு 😡,Negative
32074,எதிரி அழிந்தான்.பரம்பரை பகையாளி காங்கிரசும் முடிகிறது. துரோகி திமுக அழிய நேரம் காத்து கொண்டு இருக்கிறது.இதற்கு தான் காத்திருக்கும் தமிழினம்,Positive
32075,எத்தனை பேரை இராணுவம் கொன்றொழிக்க முடியும். மக்கள் வெகுண்டால் நாடு தாங்காது.. இந்தியா இதை பாடமாக எடுத்துக்கொள்ளவேண்டும். இல்லையெனில்  மக்கள் மனதில் எரியும் தீ நிச்சயம் ஒருநாள் வெளிப்படும்,Negative
32076,Sethu poda dai purampoku naiya thavedeya paya nasama pochee da vada tamil nadu unai kollatha vedamatan da,Positive
32077,அன்னாமலை நீ போன இடம் எங்கே விளங்கும் ? முதலில் இலங்கை ராணுவம் இவனை  கைது செய்யப்பட்டு விசாரணைக்கு உட்படுத்த வேண்டும்,Positive
32078,பற்றவைத்த நெருப்பு குற்றத்திற்கு துணை போனவர் அனைவரையும் எரிக்கும்.,Negative
32079,Kothanayum aatchil irundhu iraki serupil adiungal,Positive
32080,மக்கள்.கண்ணீர்.சும்மா.விடாது,Negative
32081,Ivan moonji partha koduruma iruka.. Sunni thayoli rajapaksa,Positive
32082,கடவுள் கொடுக்கும் தண்டனையே இது,Negative
32083,Vilaivaasi yetram inru ilangai naalai India. Vinai vidhaithavan vinai aruppan,Negative
32084,"Your. Explain vere vele level 
#Go home gota",Negative
32085,Praparkran  life  like  angels  .,Negative
32086,Evanda farvaa sarieelli,Negative
32087,Suladai no reply,Negative
32088,தெய்வம் நின்று கொல்லும் என்பதற்கு நல்ல உதாரணம்,Negative
32089,சாவு டா நாய்,Positive
32090,"Just ask this stupid assholes Rajapaksa family members,.. just fuck off from Sri Lanka",Positive
32091,"Irandhavargal anivarin sabam summa vidadhu.Iniyavadhu singargal Tamizhargalai purindhu,equal respect by all means kudukkavedum.",Negative
32092,"ஆர்ப்பாட்டம் செய்தால் எதுவும் நடக்காது🤕கண்ணீரும் பசி பட்டினி மட்டுமே மிச்சமாகும்😥😭
                        ஆயுதத்தை கையில் எடுத்து தவறு செய்தவர்களை உடனே தண்டித்து விடுங்கள்🤺 மீண்டும் அந்தத் தவறை ஒரு போதும் நடைபெறாது👍திருப்பி அடியுங்கள்🤜✊🤛

                         மேதகு 💪💪💪",Negative
32093,முள்ளிவாய்க்கால் ஈழத் தமிழர்களின் உயிர்பலி இன்று  இலங்கை பற்றி எழுதுகிறது♨️♨️♨️,Negative
32094,karma  is a boomerang defiantly its hit very hard,Negative
32095,Modikkum இது nadakka povathu உறுதி,Negative
32096,Thodappa kattai rajabakse....,Negative
32097,Thuroki telungan karuna nithy paramparai tamilnattai vittu viraddi adikkapada vendum##,Negative
