sample,category
இஸ்லாமிய மார்க்கத்தின் படி ஒரு ஆண் தனியாக பயணம் செய்யமுடியும் ஆனால் ஒரு பெண் மஹ்ரமான ஆண் ஒருவருடன்தான் பயணம் செய்யவேண்டும் என நபி ஸல்லல்லாஹு அலைஹி வஸல்லம் அவர்கள் கூறினார்கள்.. ஒரு ஆண் பொருப்பாளர் இல்லாமல்  திருமணமுடிக்கமுடியும் ஒரு பெண் பொருப்பாளரில்லாமல்  திருமணமுடிக்கமுடியாது.... ஒரு பெண் தனது உடம்பில் மணிக்கட்டுக்கை மற்றும் முகம் தவிர்ந்த பகுதிகளை மறைக்க வேண்டும் ஒரு ஆண் பொக்குள் குழியில் இருந்து முடங்கால் வரை மறைக்க வேண்டும்.... எனவே பெண்கள் இஸ்லாத்தின் பார்வையில் மென்மையானவர்கள்.... நீங்கள் நினைக்கும் மென்மை வேறு நுஸைபா ரழி என்கிற ஸஹாபிப் பெண்மனி ஒரு யுத்தத்தில் போராடி நபிகள் நாயகத்திற்கு கேடயமாக நின்று இருந்ததாக வரலாறுண்டு  அவவும் மென்மையானவர்தான்... சமவுடமை<cm> நீதியில் ஆணுக்கும் பெண்ணுக்கும் இஸ்லாம் சமவுரிமை வழங்குகிறது...... படைத்த இறைவன் அவளை பாதுகாக்க சில சட்டத்தை விதித்துள்ளான்.....,gender
பிள்ளைகள் இந்த நிலைமைகு காரணம் பெற்றோர்கள் கவனயினம் தான் முதல் காரணம்.பக்கத்து வீட்டில் என்ன சாப்பாடு என்ன பண்ராங்க என்று தேடி பார்த்தால் இந்த நிலைமை வராது,other
நல்ல விடயம் சொன்னீர்கள் கட்டாயமாக ஒவ்வொரு ஊர்களிலும் கவனிக்கப்பட வேண்டிய விடயம் மனிதனை மிருகமாக்கும் ஒரு பொருளே போதைப்பொருள் ஆனால் கவலை பொலிஸில் முறைப்பாடு செய்தால் நாம் வெளி வருவதற்கு முன்னாலே அவர்கள் வந்து விடுவார்கள் இதுவே இலங்கையின் சட்டத்தின் நிலமை,other
லஞ்சத்தை வாங்கிட்டு போலீஸ்காரன் விட்டுருவான்,other
Emdha naatla aththiya avasiya saamaankal yethum eillai but endha boodhai porutkal mattum yeppady varukiradhu ..vikkappadukiradhu..paavikka padukiradhu ...edhu boodhai porurul olippu eilla valarpu edhukku kaaranam olunkatta voolal arasiyal arasiyalvaathikal endha pachilam kuladhaiyen maranam kantikka thakkadhu ennum edhai valara vida koodaadhu edhukku  makkalaal  thaan thirppu valanga vedum ..nalla pathivukku nandi,other
புதிர் சொன்னது போல் இருக்கிறது,other
அப்போ அந்த குழந்தையின் மறணத்துக்கு காரணம் அக்குழந்தையின் தந்தையா ? தெளிவான விளக்கம் தாருங்கள்,other
சிறப்பான விளக்கம்,other
Bro good motivation but don’t add that benefits coz some kind of people will try,other
I respect you,other
இந்த பதிவானது ஐஸ் அடிப்பவர்களுக்கு வழிக்கும். தூரமாக இருப்பவர்களுக்கு ஏற்கும். நல்ல கருத்து சொன்னீங்க வாழ்த்துக்கள் நண்பா,other
அனைத்து தவறுகளுக்கும் காரணம் மேலைநாட்டு சட்டங்களும் நம்நாட்டு அரசாங்கம்,other
தயவு செய்து இக் காணொளிக்கான தலைப்பை <dq>ஹிட்லரும் ஐஸும் என<dq> மாற்றுங்கள்.,other
Gota go Gama வில் இருந்து முஸ்லிம்கள் ? ?? போகவில்லை விலகி நின்று இருந்தால்<cm> இது நடந்து இருக்காது<cm>,ethnicity
கடைசி வரைக்கும் தகப்பன் என்ன செய்தார் என்று கூறவில்லையே,other
சொல்ல வந்ததை விட்டு வேரத கதைக்க,other
எனக்கு இந்த வீடியோவ பார்த்ததில் இருந்து மூளை வேருக்குது..என்ன சொன்னார் என்று விளங்கவில்லை,other
Thalivana vilakkaththa makkalukku koduga 2um onda pottu kolappama,other
சிகரெட்  பிடிக்கும் அப்பாக்களால் பிள்ளைகளை கண்டிக்க முடியவில்லை \nஎனவே சிகரெட் பற்றியும் விழிப்புணர்வு வேண்டும்,other
Nice keriyanvaluku yeah kalyanam avanvaluku kalyanam pesure umma maruku adikanum serupalaiye,other
இப்போது ஜனாதிபதியாக இருப்பவரை பாதுகாப்பு செயளாளராக இருந்ததபோது எதிர்த்த வீரன் யாரும் செய்யாததை செய்தவர்,politcs
kaavalana?????? negala nenajika wendiyadhu thaaan hm,politcs
மலையக மக்களின் அரசியில் காவலன் 🤔🤔😂😂😂,politcs
Please fallow up your grand father<sq>s policy and method u can keep up your father<sq>s name as well,politcs
அப்பாவை காவலனாக ஏற்றுக்கொள்ள 50%வாய்ப்புகள் இருக்கின்னறது.தம்பி நீங்கள்......?????எப்போதும் கேள்வி குறிதான்.,politcs
Fardha பெண்களுக்குதானே?/,gender
மனநலக் கோளாறு ஒன்றுமில்லை<cm> அவர்கள் காதலால் இணைந்தவர்கள். மனநலம் குறித்த அறிவியல் வளர்ச்சி பெறாத ஒரு காலத்தில் இப்படியான செயல்கள் மனநலக் குறைபாடாகப் பார்க்கப் பட்டது<cm> ஆனால் அறிவியல் வளர்ச்சியுடன் மனநலத் துறை இத்தகையவர்கள் சாதாரண மனிதர்கள்தான் என்கின்ற உண்மையைப் புரிந்து கொண்டது.,gender
ஓரினச் சேர்க்கை அசாதாரணமான விஷயமே தல....,gender
அப்போ நீங்க இயற்கையை சரியாக அவதானிக்கவில்லை<cm> புரிந்து கொள்ளவில்லை என்றே தோன்றுகிறது.\nஎக்கச்சக்க சக விலங்குகள்<cm> பறவைகள்<cm> ஊர்வன<cm> இவ்வளவு ஏன் வண்டுகள் கூட ஓரினசேர்க்கையில் ஈடுபடுகின்றன.\nஓர் பால் ஈர்ப்பு என்பது இயற்கையில் சாதாரணமான நிகழ்வு தான்,gender
இதுபோன்றவர்களை (lgbt+) எதிர்ப்பது மத வெறியர்களை ஆதரிப்பதற்கு சமம்.,gender
ஆணும்-பெண்ணும் இல்லறம் எனும் நல்லறம் மூலமாக இணைந்து  அதன்மூலம் மனிதசமுதாயம் பல்கி பெருகும் வழிமுறையை இறைவன் ஏற்படுத்தியிருக்க<cm> அதற்கு மாறாக நாகரீகம் என்ற பெயரிலும் சுதந்திரம் என்ற பெயரிலும் ஆணும் ஆணும்<cm>பெண்ணும் பெண்ணும் இணையும் ஓரினச் சேர்க்கை செய்வதை ஆதரிக்கும் பகுத்தறிவு என்ற போர்வையில் முட்டாள்களாக திரியிது ஒரு கூட்டம்,gender
உணர்ச்சிகளுக்கு வடிகால் தேடுவது மட்டுமே... \nவாழ்க்கை அல்ல.,gender
லூத் நபி காலத்தில் இப்படி இருந்ததாக சொன்னார்கள்..,gender
லூத் நபிக்கு முன்னமே கூட இருந்து தான் இருக்கிறார்கள்.,gender
ஓரின சேர்க்கையாளர்களுக்கு மரண தண்டனை கொடுக்க வேண்டும் பைபிள் லேவியராகமம் 20:13 ஓரின சேர்க்கையாளர்களுக்கு  சுவர்க்கம் கிடையாது 1 கொ 6:9,gender
காதலுக்கு மதம் சாதி இனம் மொழி ஆண் பெண் னு எந்த மயிரு மட்டயும் கிடையாது,gender
இது பெரும்பான்மை நாடு என்பதில் ஐயம் இல்லை,other
இந்த இனநல்லுறவை ஏற்படுத்தும் முயற்சியில் கோதாகோகம போராட்டத்துக்குரிய போராட்டக்காரர்களுக்கு \nமுதற்கன் நன்றிகள்........\nஇலங்கையை இனவாதம்பிடித்த இனவெறிக்கான அரசியல் வாதிகளே எம்மை பிரித்து வைத்தனர்...........\nராஜபக்ச இனவெறியர்கள் ஒழிய வேண்டும் .............\nநாம் இலங்கையர்களாக நாட்டை பாதுகாப்போம்.,ethnicity
யாராக இருந்தாலும் அவர்களை மதிப்பது மனிதத் தன்மையாகும். அதை எல்லா மதங்களும் போதிக்கின்றன. மனித நேயத்தோடு உண்மையாகவும் பொறுமையாகவும் விட்டுக் கொடுப்பதும் ஒற்றுமையாகவும் வாழ்ந்தாலே நம் நாடு முன்னேற்றத்தின் சுபிட்சத்தை எதிர்கொள்ளும். இஸ்லாம் எந்த மதமாக இருந்தாலும் அதை மதிக்க சொல்கிறது. உயர்ந்தவர்கள் தாழ்ந்தவர்கள் என்று யாருமில்லை படைத்த இறைவன் நன்கறிந்தவன். யார் நற்செயல்கள் செய்கின்றார்களோ அவர்கள் உயர்ந்தவர்கள். யாரு தீமையின் பக்கம் செல்கிறார்களோ அவர்கள் தீயவர்கள் என்பதே இஸ்லாம் போதிக்கின்றது. எவர்கள் எப்படி இருந்தாலும் அவர்கள் செய்தவை நன்மை தீமை எல்லாம் அவர்களுக்கு காட்டப்படும் அது அவர்கள் சம்பாதித்தவை அவர்களுக்கே உரித்தாகும்.,religion
முன்னைய காலத்தில் அறியாமையின் காரணமாக எம்மில் சிலர் மாற்று மதசகோதறர்களை எம் பள்ளிக்குள் அனுமதி ப்பதில்லை ஆனால் தற்போது உணர்ந்து கொண்டார்கள் இல்லை யென்றால் அவர்கள் எங்கள் பள்ளி பற்றி எப்படி அறிவார்கள்,ethnicity
இனவாதம் ஒழியட்டும் மனிதநேயம் மலரட்டும்\nமக்களின் ஒற்றுமை ஓங்கட்டும் வாழ்த்துக்கள்,ethnicity
இதே நிலை நீடிக்க இறைவனை பிரார்த்தனை செய்கிறேன் ....,ethnicity
நமது நாடு முன்னேற இந்த ஒற்றுமை தேவை,ethnicity
எந்த மதத்தவர்கள் என்றாலும் வரலாம் ஏன் என்றால் அது இஸ்லாமியர்களின் விடு அல்ல இஸ்லாமியர்கள் இறைவணக்கம் செய்யும் இறைவனின் ஆலயம் அங்கு வருவதற்கு எல்லாருக்கும் அனுமதி உண்டு ஆகையால் எங்கள் சமயம் எல்லோருக்கும் போது வான சமயம் இதில் விரும்பியவர்கள் வருவதர்க்கும் இனைவதர்க்கும் இடமுன்டுவாருங்கள் பாருங்கள் எந்த சமயத்தில் இருந்தாலும்  பரவாயில்லை வாருங்கள் யார் சோன்னார்கள் மற்ற மதத்தினரை இறை இல்லமான பள்ளி வாயிலை எவர் வேண்டுமானாலும் பார்க்க அனுமதி உண்டு ஆகையால் மற்றவர்கள் சோல்வதை நம்பாதிர்கள் நன்றி,ethnicity
☸🕉☪️✝️❤❤❤❤🇱🇰🇱🇰🇱🇰🇱🇰🇱🇰🙏🙏🙏🙏,ethnicity
எந்த மதமும் யாரையும் வரவேற்க கூடாது என்று சொன்னதில்லை ஆனால் வழிபாட்டு முறை தான் வேறுபாடே தவிர இறைவன் பஞ்சபூதங்கள் தான் பிறை பார்கா நேன்பில்லை<cm>நட்சத்திரம் காண பிறப்பில்லை<cm>சூரியன் உதயம் காண கணிப்பில்லை<cm>பெளர்ணமி காண வழிபாடில்லை மனிதன் புரியாது புலம்புகிறான்,ethnicity
— It’s true! The Srilankan people deeply regret the choice they made in electing the wrong people to power.\nPeople do feel that they have been deceived by the representatives whom they have voted for. \nThe ruling party has broken the trust of the people<cm> that is why the people don’t want these individuals in government anymore. \n— Parliamentarians who were whining about their destroyed homes seem extremely selfish. They didn’t care about the suffering and despair of the people who got them in the parliament at all.,politcs
Please go for an election so that we all can see. I firmly believe sir as you mentioned people have rejected current president and PM also rejected by people at the election. Sooner the better to go for an election.,politcs
Sir<cm> \n\n10 வந்தால் என்ன?/15 போனால் என்ன??  20<cm> 21<cm> 35<cm> and even 55 வந்தாலும் <cm> போனாலும் நாங்கள் ஏன் ஆவேசத்துடன் விவாதிக்கிறோம்??,politcs
What difference is it going to make to the people that elected you? Today<cm> the president has the support of the parliament. It<sq>s  not just the president that looted the country<cm> the MPs supporting or supported him<cm> the PM<cm> government officials and party members have all played their part in today predicament. Devolution of power and/or separation are the only mechanisms that can protect at least a section of the people<sq>s interests.,politcs
Sir! You are a man of law. Many others in the parliament are not. Majority of the parliamentarians don’t have the knowledge to understand things you say because they don’t have higher education.  I see that it’s hard to get votes because of the incompetent members of the parliament. PM RW ‘s decisions shows that he doesn’t care for the laws himself. \nThe young protesters on the other hand are educated ones<cm> they know what they are doing. 😊,politcs
Legal actions must be taken immediately for all  kinds of violence and vandalism.,politcs
One country one law never practiced and never going to be unfortunately.,politcs
நம் நாட்டில் அரசியல்வாதிகள் என்றாலே நாட்டை கொள்ளை அடித்த கள்வர் கூட்டம்<cm> இனவாதம் பேசி நாட்டில் இனங்களுக்கு இடையில் குழப்பம் விளைவிக்கும் ஏமாற்று பேர்வழிகள் என்று மக்கள் சலிப்பு அடிந்து உள்ளனர்\nஅதனால்தான்<cm> JVP மற்றும் உங்களை போன்ற விரல் விட்டு எண்ணகூடிய சில நல்ல அரசியல்வாதிகளை கண்டதும் மக்கள் சந்தோஷம் அடைகின்றனர்\n\nஉங்களின் நாட்டையும் நாட்டு மக்களின் பிரச்சனைகளை காட்டும் அக்கறை தொடர்ந்து மாறாமல் இருக்க வாழ்த்துக்கள்,politcs
குறுகிய காலதில் முஸ்லிம் தமிழ் மக்களின் மனதில். பாரிய நம்பிக்கைக்குரிய வராக இடம்பிடித்து இருக்கிறீர்கள் இதை கடைசிவரை காப்பாற்றுவீர்கள்  என்று நம்புகிறோம்.,politcs
மக்களின் மனநிலையை வென்ற மக்கள் தலைவன்,politcs
Alla arasiyal vathiyum nakaram vanthu pona kiramaththukku yar vara,politcs
வாழ்க்கையை நீளமாக வாழ்வதை  விட ஆளமாக வாழ்ந்து பார். ஓர் அர்த்தம் கிடைக்கும். 🔥,other
நாட்டை நாசமாக்கி போட்டார்கள். இன்னும் எத்தனைய பார்க்க வேண்டி வருதோ தெரியவில்லை. பஞ்சம் தலைவிரித்தாடுது.,politcs
Arasagkam etha ellam paththutu pesama thanea erukku,politcs
நல்லாட்சி நாடகத்தில் இதுவும் ஒன்று,politcs
ரணில் நரியின் தந்திரம்,politcs
இப்ப மனித உயிருக்கு மதிப்பு இல்லை,politcs
எல்லாத்துக்கும் நம்முடைய தலைவர் இல்லாததுதான் இப்படி நடக்க காரணம் அவர் இருந்திருந்தால் எவனும் ஆட்டம் போட முடியாது,politcs
எல்லாம் போராட்டத்தை முறையடிக்க....,politcs
EPO nattula nadakurada patha \nErukura pirachanaya makkal marakuraduku manasa thisai thirupi viduraduku podura plane madiri eruku,politcs
Must bring American Army\nOr Gota Go Home\nOtherwise people no guranty,politcs
இனவாதம் புடிச்ச சிங்கள அரசே<cm> தமிழர்களுக்கான உரிமைகளை முதலில் கொடுங்கள் அப்புறம்  நாங்கள் இந்நாட்டு பிரச்சனைகளை சரி செய்கிறோம். எதற்காக உலகமெங்கும் போய் கடன்  வாங்கி அலைகிறீர்கள். சிங்கப்பூரை போன்று இருந்த நம் நாட்டை சின்னாபின்னமாக்கியது உங்கள் இனவாதம் போதும் போதும் மனம் திரும்புங்கள்<cm> கடவுள் உங்களுக்காக மாத்திரம் இல்லை எல்லா உயிரினத்துக்கும் தான் இந்த உலகத்தை படைத்திருக்கிறார் அதை மனதில் வைத்துக் கொள்ளுங்கள்,ethnicity
தமிழர்களை கொலை செய்த பாவம் தொடர்கிறது.,ethnicity
வினை விதைத்தவன் வினை அறுப்பான்,ethnicity
இறந்த ஆவிகளின் சாபம் சும்மா விட்டத இனி போச்சு நாசம போச்சு ஸ்ரீலங்கா,ethnicity
அரசாங்க ஊழியர்களுக்கு சம்பளம் கொடுக்கவில்லை என்றால் அரசியல்வாதிகளுக்கு பிரச்னை,politcs
Ithukku ennathan mudivu intha naadum Somaliya pola varappogutha,politcs
இந்த கேஸ் தற்போது சந்தையில் இல்லை <cm>ஆனால் இதை வைத்து லிட்டோ விலையை ஏற்றப்படும்,politcs
Varum aana varathu....,politcs
Nasama pona arasangam,politcs
Sari inda vilaikalum paravaillai oluga thaga,politcs
என் வாழ்நாளில் ஒரு முசுலீம் பொண்ணு கூட தொப்பி போட்டு பார்த்ததில்லை..,ethnicity
இந்து மதம் ஒட்டுமொத்த மனித குலத்தின் முன்னேற்றத்திற்காகவும்<cm> அறிவியல் வளர்ச்சிக்காகவும் வழங்கிய மகத்தான பங்களிப்புக்களில் ஒன்றை இந்தக் காணொளியில் காணலாம்........... \n\nகுடுமி வைத்த இந்து விஞ்ஞானியின் அறவியல் பங்களிப்பு மகா பிரமாதம்....... \n\nநீங்களும் ஒரு தடவை பார்த்து <sq>அர்த்தமுள்ள இந்து மதத்தைத்<sq> தெரிந்து கொள்ளுங்கள். \n\nகுறிப்பு : இதற்கும் இந்து மதத்திற்கும் தொடர்பில்லை என்று சொல்லி இந்து மதத்தின் அறிவியல் பங்களிப்பை யாரும் குறைத்து மதிப்பிட வேண்டாம்.,religion
கங்கை என்ன இவங்க அப்பன் ஊட்டு சொத்தா? 😠,religion
யாரும் ஹஜ்ஜுக்குப் போகல்லை என்றால் நாட்டுக்குத்தான் முஸிபத்து (சாபம்) பிடிக்கும்<cm> நாடு இன்னும் நாசமாத்தான் போகும்<cm> சந்தோசப்ட ஒன்னுமில்லை. \n\nஹஜ்ஜு என்பது உயர்ந்த தத்துவங்கள்<cm> தியாகங்கள் கொண்ட அமல் ஆகும். கழுதக்குத் தெரியுமா கற்பூர வாசனை?,religion
சிறீலங்கா முஸ்லீம்களுக்கு இனி நரகம் தான்!,ethnicity
வாழ்த்துக்களும்<cm> அன்புகளும்💐,gender
இவர்களின் அராஜகம் இன்னும் போகலையா,politcs
இவருடைய வாகனம் நிறுத்தலாம்..... நமது வாகனம் நிறுத்தினால் தண்டப்பனம் கட்டணும். அவங்க அதை ஆட்டயப்போடலாம்,politcs
Money plays the role,politcs
இந்த பொல்லாத ஆட்சியால் மனதை மகிழ்விக்கும் பல நல்ல மாற்றங்கள் ஏற்பட்டுள்ளதை ஏற்றுக்கொள்ளத்தான் வேண்டும்.,politcs
Historical moments ❤,politcs
சாதி<cm> மதம்<cm> மொழி<cm> நிறம்<cm> தோற்றம்<cm> அந்தஸ்து மட்டும் அல்லாமல் வயது<cm> பாலினம்<cm> பாலியல் ஈர்ப்பு போன்றவற்றுக்கும் அப்பாற்பட்டதே காதல்... 💞,gender
World health organisation athu oru hormones problem ille. Mental problem ille. Mathavanga pole normal thaan endu certified panni indaikku niraya country la LGBTIQA+ makkala accept panni irukkange. Avangalukkana urimaiyum kidaichu irukku.\n\nMathavanga solranga endu naamalum sollittu poratha vida oru visayatha study pannittu athukku pirahu unga comment a sollunge bro.,gender
Hahaha... Yaaru bro ungalukku sonnathu oorina serkaiyala HIV and STDs spread aahuthu endu. Apdi partha heterosexual people ku HIV and STDs vaara illaya?\n\nNaanum GFATM National HIV Prevention Project la team leader a thaan work panren. 😊\n\nHIV and STDs spread aahurathukku main reson multiple sexual partners. So<cm> homosexual a irunthalum heterosexual a irunthalum multiple partners yaarukku ellam irukko avangalukku HIV and STDs spread aahura change kooda irukku.\n\nNeenga mention panni irukkure 1. Syphilis 2. Gonorrhea 3. Herpes 4. Genital wards 5. Hepatitis ithu ellame STDs endu solluvam. Ithukkum HIV kum entha connection um ille. HIV virus irukkura oru person kooda unsafe sexual relationship vaichukonda mattume HIV spread aahum. STDs irukkuravanga kooda unsafe sexual relationship vaichu konda STDs mattum thaan spread aahum.\n\nIthu pothuma innum sollanuma??? 😅,gender
From what he is wearing he seems like a decent person. Its so sad to see people do this to their own  people. Robbing is bad i guess due to the current situation in SL more people will try to steal from others. \n\nGoHomeGota2022,politcs
No matter robbery<cm> theft<cm> or any kind of illegal activity<cm> people have no right to take the law into their hands.😡,politcs
Oh God<cm> I worry about what he might have tried to steal whether it is food or related things. If for food all are responsible and if for drugs again the question is who is responsible,politcs
The big thief mahinda rajapaksha safe<cm> the small thieves have beaten to death<cm> that’s this country and people,politcs
தொப்பை இல்லாத ஒவ்வொரு கணவனுக்கும் பின்னாடி ஒவ்வொரு சமைக்கவே தெரியாத மனைவி உண்டு,other
Better to migrate soon as possible if you can to a better country than this with your whole family.,politcs
Potha  5000/= \n50000/= tange,politcs
பதவி ஆசை அரசியல்வாதிகளுக்கு வருவது இயல்பு.அதற்கு இவர் விதிவிலக்கு அல்ல என்று தான் சொல்ல வேண்டும்.\nநாட்டுக்கு  அரசியல் துரோகம் இளைத்தாலும் சிலரைப்போல் இனத்திற்கு துரோகம் இளைக்காதவர்  இவர் என்ற கருத்து பலரிடம் உண்டு.,politcs
தாராளமாக என்னிடம் இருந்தால் கூட நான் கொடுப்பேன்  இஸ்லாத்தை தப்பாக காட்டி பதிவு போடுபவர்களுக்கே  லச்சம் லச்சமாக  கொடுக்கும் போது சமூக சேவை செய்பவர்களுக்கு  ஏழை பெண்களுக்கு உதவி செய்பவர்களுக்கு கொடுக்க நபர்கள் இருப்பாங்க தானே,other
physical laws don<sq>t care about ideology<cm> physical laws are simply valid now and for ever :D,other
Ideal opportunity to show the අරගලය to the world if organised properly,politcs
I think people dont have much sense about hard defaults. Otherwise this kind of behavior would not happen ..,politcs
Now our people are used to queue<cm> this won<sq>t break a sweat for them.😏,politcs
People have money and no fueul no gas no food or medicine  to spend. So they are spending that to watch a match. Not a surprise . 😉😉,politcs
Country name should be changed to Queue lanka 🇱🇰,politcs
Miracle Sri Lanka now everything has in queue 😰😰,politcs
இது எமது தேசிய விளையாட்டு நாட்டின் பொருளாதார பிரச்சினைகள் பராது நம் தாய் நாடு என்ற ஒரு கர்வம் கொண்டு நேசிப்போம் வாருங்கள்\nONE NATION\nONE COUNTRY,politcs
Safe ur petrol first,politcs
